timestamp,track_id,cx,cy,x1,y1,x2,y2,total
2026-02-25T20:45:40,3,144,255,38,176,251,335,1
2026-02-25T21:16:03,33,498,363,465,334,532,392,0.509,1
2026-02-25T21:16:47,80,645,363,585,315,705,412,0.593,2
2026-02-25T21:16:50,82,654,356,593,303,715,409,0.899,3
2026-02-25T21:16:53,83,659,369,600,319,719,419,0.674,4
2026-02-25T21:16:57,84,662,403,600,354,725,453,0.701,5
2026-02-25T21:16:59,85,664,356,606,304,722,408,0.454,6
2026-02-25T21:17:02,86,656,356,604,303,709,410,0.583,7
2026-02-25T21:17:05,87,631,356,569,304,694,409,0.862,8
2026-02-25T21:17:12,90,606,361,544,312,668,410,0.708,9
2026-02-25T21:18:33,802,180,178,162,162,199,194,0.822,1
2026-02-25T21:18:33,1070,303,176,282,158,325,194,0.884,2
2026-02-25T23:42:32,1,679,358,545,155,814,562,0.556,1
2026-02-25T23:48:05,33,498,363,465,334,532,392,0.509,1
2026-02-25T23:48:49,80,645,363,585,315,705,412,0.593,2
2026-02-25T23:48:52,82,654,356,593,303,715,409,0.899,3
2026-02-25T23:48:55,83,659,369,600,319,719,419,0.674,4
2026-02-25T23:48:58,84,662,403,600,354,725,453,0.701,5
2026-02-25T23:49:00,85,664,356,606,304,722,408,0.454,6
2026-02-25T23:49:03,86,656,356,604,303,709,410,0.583,7
2026-02-25T23:49:05,87,631,356,569,304,694,409,0.862,8
2026-02-25T23:49:12,90,606,361,544,312,668,410,0.708,9
2026-02-25T23:51:31,5,415,360,232,182,598,539,0.925,1
2026-02-25T23:52:42,22,430,391,288,273,573,509,0.499,1
2026-02-25T23:53:18,72,513,363,457,307,569,419,0.613,2
2026-02-25T23:53:23,85,643,358,571,278,716,438,0.927,3
2026-02-25T23:53:24,88,401,379,331,308,472,450,0.869,4
2026-02-25T23:53:26,99,171,364,100,296,242,432,0.934,5
2026-02-25T23:53:32,96,656,365,552,251,761,479,0.951,6
2026-02-25T23:53:42,154,908,368,812,267,1005,469,0.896,7
2026-02-25T23:53:55,203,482,355,373,251,591,459,0.864,8
2026-02-25T23:54:45,15,304,361,229,290,379,433,0.921,1
2026-02-25T23:54:52,51,678,370,603,298,754,443,0.939,2
2026-02-25T23:54:54,85,730,359,620,250,841,469,0.735,3
2026-02-25T23:54:54,34,507,355,438,288,577,423,0.859,4
2026-02-25T23:56:00,3,1045,356,834,143,1256,569,0.538,1
